id;start_date;end_date;academic_year;active;tenant_id
1;2022-03-05;2022-03-04;regional;false;neural Technician
2;2022-03-04;2022-03-05;generating Product;true;orchid
3;2022-03-04;2022-03-05;Tools;false;bandwidth
4;2022-03-04;2022-03-04;Auto Loan Account Unbranded Wooden Chicken Mouse;false;artificial intelligence invoice
5;2022-03-04;2022-03-05;digital bypassing collaboration;false;HDD
6;2022-03-05;2022-03-05;virtual Grocery;false;system
7;2022-03-04;2022-03-04;invoice;true;Stream
8;2022-03-04;2022-03-05;International blue circuit;true;Technician payment
9;2022-03-04;2022-03-05;implementation;false;Brand AGP Graphic Interface
10;2022-03-05;2022-03-04;attitude-oriented Soft Orchestrator;true;generating
