id;name;alias;code
1;New Taiwan Dollar connecting Fiji Dollar;seize;infomediaries holistic
2;Intelligent;embrace;open-source
3;protocol;Sausages;niches Facilitator navigate
4;array Executive Configuration;Guarani Awesome;deposit compressing
5;Rubber Refined Frozen Shoes;deliverables;vortals encoding Toys
6;software;cyan override;EXE
7;Executive Refined Concrete;Table Austria fresh-thinking;Handcrafted
8;exuding;Sleek Quality neural;Soap
9;Money Market Account;Small Investment Account online;copy withdrawal
10;generate Incredible;Turkey;European Unit of Account 17(E.U.A.-17) structure
