id;name;alias;graduation_type;type;num_of_years;multi_batch
1;Alabama Rest;embrace web services index;UG;NA;82342;false
2;auxiliary Ohio;Facilitator;SCHOOLING;NON_ACADEMIC;17864;true
3;Investment Account AGP Gorgeous;modular;DIPLOMA;ACADEMIC;66615;false
4;Frozen Credit Card Account;AGP Buckinghamshire;UG;ACADEMIC;67715;false
5;Fresh navigating Mexican Peso Mexican Unidad de Inversion (UDI);Won;DIPLOMA;NON_ACADEMIC;72754;false
6;repurpose;El Salvador;NA;NON_ACADEMIC;7868;false
7;Rubber;system France solid state;PG;NON_ACADEMIC;73071;true
8;Developer platforms cross-platform;maximize disintermediate Specialist;SCHOOLING;NA;84684;true
9;EXE Inlet bypass;Wooden XSS Avon;NA;NON_ACADEMIC;83498;false
10;cross-platform;Technician Bike;PG;NON_ACADEMIC;96755;true
