id;name;code;alias;intake;type;sub_type
1;Virtual;transmitter Seychelles Rupee;AGP Tools New Hampshire;35538;ACADEMIC;PROGRAM
2;CFA Franc BEAC;blue;Configuration web-readiness Hat;41592;NA;OPTIONAL
3;Cotton Savings Account;Fully-configurable application;open-source Clothing;43721;NON_ACADEMIC;NA
4;TCP;Home distributed;Universal Executive;61246;NON_ACADEMIC;OPTIONAL
5;Tasty Cotton Shoes schemas program;Grocery;azure;63173;ACADEMIC;PROGRAM
6;Orchestrator;Pennsylvania encryption payment;Handcrafted Steel Fish bus connect;87480;NON_ACADEMIC;PROGRAM
7;program asymmetric Money Market Account;Fundamental Fish Quality;Berkshire 24/7;66075;ACADEMIC;NA
8;program national;Estate Shoes;deposit;3648;NON_ACADEMIC;NA
9;Soft Tuna Cambridgeshire;Unbranded Granite Chicken Arizona;copying hard drive website;90463;NON_ACADEMIC;NA
10;Intelligent Fresh Keyboard Colorado deposit;expedite Berkshire Colombian Peso Unidad de Valor Real;Infrastructure;52267;NA;NA
