id;academic_year;quality_result;top_result;tenant_id
1;Buckinghamshire;69166;3815;Synergized deposit Rustic Frozen Pizza
2;Incredible Cayman Islands Dollar alarm;3708;46471;Freeway Credit Card Account
3;redundant Associate;73210;36790;Chips reboot Gorgeous Cotton Soap
4;Communications knowledge user card;59020;73125;portals
5;azure;75396;71621;PCI
6;Tasty Common Pizza;70179;67109;firewall Hat Jewelery
7;Frozen magenta methodologies;76252;11368;bypass info-mediaries
8;Sausages Avon;81433;29607;optical
9;Solomon Islands Dollar bypassing Shoes;96746;19490;wireless Metal
10;alarm Shoes input;62098;55158;Bulgaria Cotton
