id;academic_year;quality_result;top_result;tenant_id
1;maximize;59180;73247;Architect connect eco-centric
2;Steel tertiary content-based;30092;68588;transmit Dynamic Ergonomic Steel Pizza
3;bandwidth;66555;18650;purple
4;Supervisor Practical Cotton Fish Handmade;31187;27132;Awesome
5;feed;49562;56756;multi-byte Generic Plastic Shirt
6;Representative Sleek;9690;75223;Investment Account deposit Borders
7;Ergonomic Soft Computer;17289;84805;JSON payment
8;Spring;18161;87007;Chilean Peso Unidades de fomento SMS
9;withdrawal;6331;23291;24 hour compressing
10;contextually-based;26950;37242;Usability
