id;term;title;description;img_url;img;img_content_type;no_of_students;tenant_id
1;51164;initiative;Licensed withdrawal virtual;bandwidth-monitored;../fake-data/blob/hipster.png;image/png;91184;Gorgeous Soft Ball time-frame
2;22751;neural discrete;iterate COM Profound;Practical Granite Pizza vortals Azerbaijanian Manat;../fake-data/blob/hipster.png;image/png;54313;Bermudian Dollar (customarily known as Bermuda Dollar) Soft mint green
3;74228;digital;user-centric Bike;Landing;../fake-data/blob/hipster.png;image/png;2212;red
4;26799;Sleek Soft Chicken Assistant Money Market Account;Credit Card Account;Dynamic Rustic Cotton Towels;../fake-data/blob/hipster.png;image/png;89000;deposit invoice circuit
5;36955;Markets system;Investment Account Small;strategic;../fake-data/blob/hipster.png;image/png;29213;stable
6;32116;Berkshire Baht;Wooden;facilitate;../fake-data/blob/hipster.png;image/png;67269;green
7;32755;Dynamic interactive;Frozen Auto Loan Account Washington;indigo;../fake-data/blob/hipster.png;image/png;62510;Senior
8;40384;web services Marketing methodologies;Devolved;plug-and-play;../fake-data/blob/hipster.png;image/png;18070;channels Streamlined
9;55378;synthesize indigo copying;standardization;Unbranded Home Loan Account;../fake-data/blob/hipster.png;image/png;85669;ivory redundant
10;81764;CSS Tasty Rubber Pizza Computer;Metal;Investment Account Danish Krone protocol;../fake-data/blob/hipster.png;image/png;7603;user-centric orchid Secured
