id;name;img;img_content_type;img_link;batch_year;note
1;Tokelau;../fake-data/blob/hipster.png;image/png;systematic Manager;Avon;../fake-data/blob/hipster.txt
2;Wallis and Futuna Convertible Marks Tugrik;../fake-data/blob/hipster.png;image/png;Central;AI microchip;../fake-data/blob/hipster.txt
3;Burg Roads Cotton;../fake-data/blob/hipster.png;image/png;deposit;Brand;../fake-data/blob/hipster.txt
4;COM content-based invoice;../fake-data/blob/hipster.png;image/png;deposit installation proactive;Pizza Shirt;../fake-data/blob/hipster.txt
5;El Salvador Colon US Dollar;../fake-data/blob/hipster.png;image/png;applications Engineer Concrete;Officer;../fake-data/blob/hipster.txt
6;Movies Illinois Ergonomic Steel Chair;../fake-data/blob/hipster.png;image/png;transmitting Idaho Legacy;hack Handmade Rubber Shirt;../fake-data/blob/hipster.txt
7;deposit Qatar;../fake-data/blob/hipster.png;image/png;channels Gloves;payment matrix;../fake-data/blob/hipster.txt
8;compressing Beauty;../fake-data/blob/hipster.png;image/png;Aruban Guilder;digital Solutions;../fake-data/blob/hipster.txt
9;parsing Savings Account Rubber;../fake-data/blob/hipster.png;image/png;Bedfordshire Beauty;Personal Loan Account 24/7;../fake-data/blob/hipster.txt
10;conglomeration Auto Loan Account;../fake-data/blob/hipster.png;image/png;ROI Philippine Peso Forges;Trafficway Self-enabling;../fake-data/blob/hipster.txt
